path,kind
.claude/agents/conda-debug-runner.md,docs
.claude/agents/doc-writer.md,docs
.claude/settings.json,config
.claude/skills/spec-writer/SKILL.md,docs
.cursor/rules/coderun.mdc,other
.cursor/rules/git.mdc,other
.cursor/rules/reference.mdc,other
.github/chatmodes/vscode_copilot_cfg.chatmode.md,shared-config
.gitignore,other
.trae/documents/plan_20260212_195149.md,docs
CLAUDE.md,shared-config
GUROBI_ENV_TESTING_SUMMARY.md,docs
README.md,shared-config
TEST_SCRIPT_UPDATE_SUMMARY.md,docs
TODO.md,docs
__init__.py,python
allocator_agent.py,python
analyze/UE_extract.py,python
analyze/__init__.py,python
analyze/analyze_ctx_switch.py,python
analyze/analyze_timing.py,python
analyze/analyze_tp.py,python
analyze/pattern.py,python
analyze/stat_num_exec.py,python
analyze/xlsl_e2e_lat_abla.py,python
analyze/xlsl_e2e_latency.py,python
analyze/xlsl_max_tp.py,python
analyze/xlsl_min_core.py,python
analyze/xlsl_safe_scalable.py,python
appoach_plot6.py,python
approach_Eq.py,python
approach_collector.py,python
approach_def.py,python
approach_initiator.py,python
approach_sched.py,python
approach_setup.py,python
approach_sim.py,python
approach_util33.py,python
cfgs/Bp_guided.json,config
cfgs/Bp_scratch.json,config
cfgs/var_sim_cfg.json,config
claude_talk/ala_coding.md,docs
claude_talk/auto-abla.md,docs
claude_talk/auto-repack.md,docs
claude_talk/baseline_allocator.md,docs
claude_talk/compared_allocator.md,docs
claude_talk/explore.md,docs
csv/coalescing_scan/n_bins_1/coalescing_req_cores.csv,other
debug_case1/case1/case1_motiv1_style.pdf,other
debug_case1/case1/case1_satisfy_projection.pdf,other
debug_case1/case1/case1_summary.json,config
debug_sink_constraint.py,python
doc/ABLA_EXP_FIX_PLAN.md,docs
doc/analytical_report/MOTIV_EXP_SUMMARY.md,docs
doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,docs
doc/analytical_report/motiv_exp_implementation_check.md,docs
doc/analytical_report/parameter_flow_exec_t_comp_ratio.md,docs
doc/analytical_report/parameter_mapping_correction.md,docs
doc/analytical_report/resource_constraint_dump_coupling.md,docs
doc/assumptions.md,docs
doc/dev/ablation_dev.md,docs
doc/dev/change_log_2023.md,docs
doc/dev/change_log_2024.md,docs
doc/dev/change_log_2025.md,docs
doc/dev/change_log_2026.md,docs
doc/dev/claude_revise.md,docs
doc/dev/code_cleanup_2026.md,docs
doc/dev/fig_plotting_context.md,docs
doc/dev/plans/2026-03-20-repack-fix-core.md,docs
doc/dev/repack_debug_instrumentation.md,docs
doc/guide/README.md,shared-config
doc/guide/architecture_overview.md,docs
doc/guide/collector_overview.md,docs
doc/guide/deprecated_code.md,docs
doc/guide/exp_scripts_overview.md,docs
doc/guide/sched_core_overview.md,docs
doc/guide/simulation_flow_overview.md,docs
doc/guide/task_model_overview.md,docs
doc/imgs/L-shape-space.png,docs
doc/imgs/multi-copies_run.png,docs
doc/imgs/trigger_issue.png,docs
doc/setting.md,docs
doc/sim_flow.md,docs
doc/sparse_list.md,docs
doc/spec/abla1_describe.md,docs
